Time [s],Channel 0
1.512659750,1
1.512685417,0
1.512693958,1
1.512702542,0
1.512719625,1
1.512728208,0
1.512745292,1
1.512771000,0
1.512779542,1
1.512788083,0
1.512796667,1
1.512813750,0
1.512822333,1
1.512830875,0
1.512839458,1
1.512856542,0
1.512865125,1
1.512873667,0
1.512882208,1
1.512890792,0
1.512907875,1
1.512916458,0
1.512925000,1
1.512942125,0
1.512950667,1
1.512959250,0
1.512967792,1
1.512984917,0
1.513002042,1
1.513027708,0
1.513036250,1
1.513044833,0
1.513079042,1
1.513087583,0
1.513096167,1
1.513113292,0
1.513121833,1
1.513130375,0
1.513181708,1
1.513190292,0
1.513207417,1
1.513215958,0
1.513224500,1
1.513233083,0
1.513267292,1
1.513284417,0
1.513292958,1
1.513301542,0
1.513318625,1
1.513327208,0
1.513344292,1
1.513370000,0
1.513378542,1
1.513387083,0
1.513404208,1
1.513412792,0
1.513429875,1
1.513455542,0
1.513464125,1
1.513472667,0
1.513481208,1
1.513489792,0
1.513498333,1
1.513506917,0
1.513515458,1
1.513541125,0
1.513549667,1
1.513558250,0
1.513566792,1
1.513583917,0
1.513601042,1
1.513626708,0
1.513635250,1
1.513643833,0
1.513686583,1
1.513712292,0
1.513720833,1
1.513729375,0
1.513737958,1
1.513746500,0
1.513755042,1
1.513763625,0
1.513772167,1
1.513797833,0
1.513806417,1
1.513814958,0
1.513823500,1
1.513840625,0
1.513866292,1
1.513883417,0
1.513891958,1
1.513900542,0
1.513934750,1
1.513943333,0
1.513951875,1
1.513969000,0
1.513977542,1
1.513986125,0
1.513994667,1
1.514003208,0
1.514011792,1
1.514020333,0
1.514028875,1
1.514054583,0
1.514063125,1
1.514071667,0
1.514080250,1
1.514097333,0
1.514123000,1
1.514140125,0
1.514148708,1
1.514157250,0
1.514191458,1
1.514200042,0
1.514208583,1
1.514225708,0
1.514234250,1
1.514242833,0
1.514251375,1
1.514259917,0
1.514268500,1
1.514277042,0
1.514285583,1
1.514311292,0
1.514319833,1
1.514328375,0
1.514336958,1
1.514345500,0
1.514354042,1
1.514371167,0
1.514405417,1
1.514413958,0
1.514431083,1
1.514439625,0
1.514448208,1
1.514456750,0
1.514490958,1
2.016072042,0
2.016097708,1
2.016106250,0
2.016114792,1
2.016123375,0
2.016131917,1
2.016140500,0
2.016149042,1
2.016157583,0
2.016166167,1
2.016174708,0
2.016183250,1
2.016191833,0
2.016200375,1
2.016226042,0
2.016234625,1
2.016243167,0
2.016260292,1
2.016268833,0
2.016285958,1
2.016311625,0
2.016320167,1
2.016328750,0
2.016337292,1
2.016354417,0
2.016362958,1
2.016371542,0
2.016380083,1
2.016397208,0
2.016405750,1
